Repository,Pushed_on,description,category,useful,Notes
ngds/ckanext-ngds , 2014-04-28 18:43:01 , CKAN extension for NGDS-specific customizations,function,,
ngds/install-and-run , 2014-05-06 16:42:21 ," Use this repository's issue tracker to post comments, bug reports, and help questions on installing and running NGDS CKAN.",install,,
nigelbabu/ckandashboard , 2013-03-18 04:33:38 , Dashboard for CKAN bugs,function,,
nigelbabu/ckanext-countrycodes , 2013-12-13 10:25:34 , ,function,,
nuams/ckanext-cmap , 2012-09-28 19:14:42 , ,,,
nuams/OpenNYDemo , 2012-11-21 06:13:27 ," A demo site for OpenNY, an open data initiative for New York State, which adds some New York State data and custom images to the CKAN code base",,,
nullbox/ckan-2.2-vagrant-bash , 2014-04-30 11:03:12 , Vagrant / shell scripts to build up fresh CKAN 2.2 instance,install,,
nullbox/ckan-streamcatalog , 2014-04-30 11:12:23 , Stream Catalog extends CKAN to support data stream publishing and subscription,function,,
OCHA-DAP/hdx-ckan , 2014-05-08 16:06:21 , A repo for HDX's configurations and extensions to CKAN,local,,
OCHA-DAP/HDX-CKAN_Setup , 2014-05-08 12:44:09 , Shell scripts to configure the CKAN collections and groups,function,,
ochidam/ckanext , 2013-12-24 05:25:44 , ,unk,,
ogdch/ckanext-foph , 2014-02-21 16:11:44 , Harvester for the Federal Office of Public Health (FOPH),harvest,,
ogdch/ckanext-fso , 2014-02-20 17:54:16 , Harvester for the Swiss Federal Statistical Office (FSO),harvest,,
ogdch/ckanext-meteoswiss , 2014-02-20 17:46:09 , Harvester for the Federal Office of Meteorology and Climatology MeteoSwiss,harvest,,
ogdch/ckanext-noregistration , 2014-02-20 17:44:41 , Plugin to disable user registration on a CKAN instance,function,,
ogdch/ckanext-ogdch , 2014-02-21 13:02:14 , CKAN templates and translations for opendata.admin.ch,local,,
ogdch/ckanext-ogdch_actions , 2014-02-20 17:46:50 , Additional action APIs for opendata.admin.ch,unk,,
ogdch/ckanext-sfa , 2014-02-20 17:49:53 , Harvester for the Swiss Federal Archives (SFA),harvest,,
ogdch/ckanext-snl , 2014-05-08 15:36:39 , Harvester for the Swiss National Library (SNL),harvest,,
ogdch/ckanext-swisstopo , 2014-02-21 07:58:33 , Harvester for the Federal Office of Topography swisstopo,harvest,,
ogdch/ckanext-transharvest , 2014-02-20 16:50:35 , Harvester for term_translations,harvest,,
ogdch/ckanext-zhgis , 2014-02-14 12:46:25 , Harvester for the Office for Spatial Development of the Canton of Zurich,harvest,,
ogdch/ckanext-zhstat , 2014-02-20 17:51:47 , Harvester for the Statistical Office of Canton of Zurich,harvest,,
okfde/ckanext-offenedaten , 2013-04-13 18:50:13 , CKAN extension for OffeneDaten.de,local,,
okfn/ckan.js , 2014-05-07 14:39:37 , Javascript client library for CKAN with support for Node and the browser. It also provides a Recline compatible backend.,function,*,
okfn/ckanbuild , 2013-04-22 14:39:58 , build script for setting up ckan,install,,
okfn/ckanclient-deprecated , 2014-03-01 16:13:14 , DEPRECATED - please see https://github.com/ckan/ckanapi. [Python client library for CKAN],junk,,
okfn/CKANClient-J , 2012-05-16 14:07:07 , Java client library for interacting with CKAN,,,
okfn/ckan-datastore-export-service , 2013-03-21 20:47:19 , DO NOT USE: Use datastore dump instead,junk,,
okfn/ckan-drupal , 2011-08-11 11:41:25 , Everything to do with ckan drupal integration.,,,
okfn/ckan-es-migrate-datastore , 2012-10-08 10:11:36 , Migrate elasticsearch to the CKAN datastore,function,,
okfn/ckanexpress.com , 2014-04-16 15:04:47 , CKAN Express (WIP),unk,,
okfn/ckanext-aerc , 2012-08-01 16:09:52 , AERC demo plugin,,,
okfn/ckanext-apps , 2012-10-22 12:34:46 , [DEPRECATED - now part of CKAN core as of v1.7] Apps and ideas catalogue extension for CKAN. Associate apps and ideas to datasets.,,,
okfn/ckanext-barnet , 2014-04-25 12:07:52 , ,unk,,
okfn/ckanext-colombia , 2012-10-02 08:52:54 , ,,,
okfn/ckanext-csw , 2012-10-19 10:57:55 , ,,,
okfn/ckanext-datacatalogs , 2014-02-04 09:25:00 , CKAN datacatalogs.org theme,local,,
okfn/ckanext-datagm , 2013-07-05 03:38:13 , Code and theme for the Data GM Open Data Portal at http://datagm.org.uk/,local,,
okfn/ckanext-datahub , 2014-01-18 16:17:44 , Plugin for datahub,unk,,
okfn/ckanext-datanl , 2011-12-09 12:26:37 , ,,,
okfn/ckanext-datano , 2011-12-01 12:00:49 , ,,,
okfn/ckanext-deliverance , 2011-12-01 12:18:06 , ,,,
okfn/ckanext-demo , 2014-04-22 09:39:20 , ckan demo site extension,junk,,
okfn/ckanext-demo-classic , 2012-05-08 14:24:46 , CKAN Demo Extension.,,,
okfn/ckanext-dgutheme , 2012-02-17 13:28:02 , ,,,
okfn/ckanext-drupal , 2011-07-15 14:15:46 , drual integration,,,
okfn/ckanext-drupal7 , 2013-06-17 10:29:05 , Drupal7 authentication for ckan,authentication,,
okfn/ckanext-ecportal , 2013-11-18 11:30:24 , CKAN extension for the European Union Open Data Portal,local,,
okfn/ckanext-edo , 2013-10-22 09:30:36 , ,unk,,
okfn/ckanext-example , 2012-03-21 15:47:26 , CKAN Extension that demonstrates some common patterns for customising a CKAN instance.,,,
okfn/ckanext-feedcontent , 2012-05-31 13:08:23 , Allows for content from rss/atom feeds to be inserted into pages.,,,
okfn/ckanext-follower , 2011-11-29 10:10:06 , CKAN Follower Extension,,,
okfn/ckanext-geo , None , ,junk,,
okfn/ckanext-ghana , 2012-10-03 13:38:29 , Demo site for Ghana,,,
okfn/ckanext-glasgow , 2014-04-16 10:31:14 , CKAN Extensions specific to Open Glasgow,local,,
okfn/ckanext-hampshire , 2012-10-03 09:36:46 , Extension for hampshire,,,
okfn/ckanext-hidegroups , 2013-10-07 15:50:56 , A CKAN 2 extension that removes CKAN's groups feature from the web interface,function,,
okfn/ckanext-hideorganizations , 2013-05-31 22:48:58 , A CKAN 2 extension that removes CKAN's organizations feature,function,,
okfn/ckanext-htsql , 2012-10-01 12:37:16 , An extension that enables htsql queries for the new datastore.,,,
okfn/ckanext-iati , 2014-05-08 14:17:25 , CKAN extension for the IATI Registry,local,,
okfn/ckanext-importlib , 2014-01-28 16:03:22 , ,unk,,
okfn/ckanext-inspire , 2012-10-19 11:00:54 , ,,,
okfn/ckanext-issues , 2014-04-22 14:45:36 , CKAN Issues Extension,function,*,
okfn/ckanext-kenya , 2012-08-01 16:19:21 , ,,,
okfn/ckanext-moderatededits , 2011-11-29 10:13:07 , Moderated Edits extension for CKAN 1.4,,,
okfn/ckanext-mx , 2013-12-18 20:42:22 , Theme for datos.gob.mx,local,,
okfn/ckanext-nsw , 2013-10-18 12:14:05 , ,unk,,
okfn/ckanext-oauth , 2011-12-01 12:02:50 , ,,,
okfn/ckanext-pakistan , 2014-05-02 12:27:08 , ,unk,,
okfn/ckanext-pdeu , 2014-01-24 13:50:38 , Custom CKAN Extension for PublicData.eu,local,,
okfn/ckanext-queue , 2011-12-02 10:20:05 , Async queueing for CKAN.,,,
okfn/ckanext-rdf , 2012-01-12 18:56:46 ," RDF features for CKAN. DCAT read/write API, integration with SPAQRL endpoint for (catalog) data.",,,
okfn/ckanext-sa , 2014-04-07 09:39:27 , Custom CKAN extension for data.sa.gov.au,local,,
okfn/ckanext-singapore , 2012-08-01 16:19:44 , ,,,
okfn/ckanext-social , 2012-06-18 16:08:06 , ,,,
okfn/ckanext-socrata , 2012-06-15 16:48:55 , ,,,
okfn/ckanext-stats , 2011-12-29 18:23:59 , ,,,
okfn/ckanext-storage , 2012-01-25 00:38:46 , CKAN storage extension.,,,
okfn/ckanext-tsbsatellites , 2014-05-08 11:55:33 , ,unk,,
okfn/ckanext-usertesting , 2013-05-09 16:37:34 , Small extension for a custom theme for user testing,unk,,
okfn/ckanext-vegaview , 2014-04-09 02:48:07 , VegaJS' view extension for CKAN,unk,,
okfn/ckanext-webhooks , 2011-12-01 12:03:22 , ,,,
okfn/ckanext-wordpresser , 2013-03-01 10:41:37 , Wordpress integration for CKAN,function,,
okfn/ckan-google-docs , 2012-04-04 00:44:38 , Google docs app script. ,,,
okfn/ckan-instances , 2014-05-05 08:41:42 , Repo for CKAN instances page,function,,
okfn/ckan-jenkins , 2012-10-31 10:44:34 , Backup of CKAN's jenkins scripts,,,
okfn/ckanjs-deprecated , 2012-11-28 12:18:49 , DEPRECATED - see https://github.com/okfn/ckan.js [Javascript client library and app for CKAN data hub software],,,
okfn/ckan-old , 2011-04-08 23:24:24 , MIRROR of primary mercurial repository for CKAN data hub software. Not guaranteed to be up to date.,,,
okfn/datadeck-deprecated , 2011-07-17 16:12:26 , CKAN Client JS app - replaced by https://github.com/okfn/datacatalog.js,,,
okfn/datastore-client , 2012-05-12 17:18:40 , CKAN DataStore client (in essence an ElasticSearch client) ,,,
okfn/ecportal-server-setup , 2013-03-27 13:06:40 , Installation instructions for CKAN 1.7.1 with the EC ODP extensions on RedHat Enterprise Linux (and CentOS) 6.,junk,,
OKirl/CKAN-CODP-Ireland , 2013-09-26 21:42:17 , Central Open Data Platform,unk,,
OKirl/CKAN-Hackathon , 2013-09-28 11:52:05 , CKAN-Hacathon,unk,,
OKirl/ODC , 2013-09-26 23:16:47 , Open Data Census (+Link/Upload datasets to ckanIRL),unk,,
onno/erlang-ckan , 2011-06-29 14:33:38 , Erlang implementation of the CKAN client API,,,
opencolorado/.NET-Wrapper-for-CKAN-API , 2013-04-24 19:48:15 , Provides a ASP.NET MVC 3 front-end for a CKAN repository that is intended to be used for providing a fully functioning data catalog for a CKAN group.  Also includes a C# wrapper for the CKAN API that can be used as a stand-alone client library for .NET development. against a CKAN repository.,function,,
opencolorado/OpenDataMap , 2013-05-21 03:21:30 , Generates a heat map from spatial datasets in a CKAN catalog,function,,
opencolorado/PHP-Wrapper-for-CKAN-API , 2012-06-01 03:42:59 , PHP front-end to CKAN API that is used on several sites using the colorado.ckan.net data catalog. Can be altered to be used elsewhere.,,,
open-data/ckan-datatools , 2013-08-22 16:36:22 , Command Line Interface for working with Government of Canada datasets in CKAN,local,,
open-data/ckanext-canada , 2014-04-17 17:09:30 , Government of Canada CKAN Extension - Extension à CKAN du Gouvernement du Canada,local,,
open-data/ckanext-canada-ckan-1.8 , 2013-02-12 17:14:25 , Archived version of Government of Canada CKAN Extension for ckan-1.8 - Extension à CKAN du Gouvernement du Canada,local,,
open-data/ckanext-datatable , 2013-08-06 14:04:12 , An implementation of CKAN's IResourcePreview interface that uses the WET datatables,function,,
open-data/ckanext-drupal , 2013-12-23 18:32:12 , This is simple CKAN extension that works with the od_package Drupal module,drupal,,
open-data/ckanext-recombinant , 2014-05-01 18:05:19 , Create datastore tables for organizations and provide combined output,function,,
open-data/ckanext-scheming , 2014-01-29 20:30:21 ," Easy, sharable custom CKAN schemas",junk,,This document describes a planned CKAN extension. The code here doesn't actually accomplish any of this yet.
open-data/ckanext-wet-boew , 2014-05-02 15:47:19 , CKAN extension that adds the Web Experience Toolkit to CKAN 2.0,function,,
open-data/opendata_package , 2013-06-17 14:00:34 , Drupal module for integrating datasets with CKAN,drupal,,
opendatatrentino/CKANalyze , 2014-03-26 08:51:41 , ,stats,,
opendatatrentino/ckan-api-client , 2014-05-06 10:14:16 , Python client for Ckan API.,client,*,
opendatatrentino/ckan-api-proxy , 2014-04-01 11:40:23 , Proxy to access Ckan API in a safer RESTful way,API,,
opendatatrentino/ckan-api-v2-tests , 2014-02-27 17:04:24 , Tests for Ckan API v2,testing,,
opendatatrentino/ckan-customization , 2013-06-19 14:44:01 ," Customize CKAN look and feel, labels and some minor behaviour for dati.trentino.it",local,,
opendatatrentino/ckan-custom-translations , 2013-12-04 10:45:38 , ,local,,
opendatatrentino/ckanext-datitrentinoit , 2014-03-25 15:41:56 , Ckan customizations for OpenData Trentino,local,,
opendatatrentino/ckanext-patcategories , 2013-08-13 21:30:57 , CKAN extension to offer a list of categories defined by Provincia Autonoma di Trento,local,,
opendatatrentino/ckanext-patform , 2013-08-13 21:27:09 , ,unk,,
opendatatrentino/ckanext-patgeo , 2013-05-16 14:12:57 , scraping script to populate CKAN from the geocatalog of Provincia Autonoma di Trento - http://www.territorio.provincia.tn.it/portal/server.pt/community/sgc_-_geocatalogo/862/sgc_-_geocatalogo/32157,local,,
opendatatrentino/ckanext-patstatweb , 2013-09-20 15:25:52 , Harvester script to populate CKAN from the server of the statistics department of the Provincia Autonoma di Trento,local,,
opendatatrentino/ckanext-sentry , 2014-02-19 16:16:24 , Hooks the Sentry's raven plugin into ckan/pylons wsgi middleware chain.,function,,
opendatatrentino/ckan-utils , 2013-08-22 10:57:44 , Miscellaneous utility scripts for ckan,function,,
opendatatrentino/Jackan , 2014-02-14 19:00:57 , Java client to access CKAN repositories. LGPL licensed.,client,,
opendatatrentino/opendata-harvester , 2014-05-07 13:00:14 ," Data crawlers, to download data and import into Ckan",function,,
openlexington/ckan-cookbook , 2014-04-23 23:47:13 , ,help,,
opennorth/ckan-automator , 2014-02-07 18:48:15 , Wrapper of the ckanapi package to manage CKAN via the API.,API,,
opennorth/ckanext-surrey , 2014-02-04 18:39:16 , CKAN extension for city of surrey,local,,
opennorth/ckanext-whiterock , 2014-05-07 18:44:12 , ,unk,,
openumea/ckan-utilities , 2012-12-11 08:24:41 , Utilities for OpenUmea's CKAN integration,,,
openumea/Facilities-example , 2013-09-03 07:38:23 , An example webpage to show off how to use javascript to talk to ckan.,help,,
openumea/UmeaMiljoHalsoKontroll-ckan , 2013-04-16 12:28:10 , Code to create and upload XML-files from MiljoHalsoKontroll to CKAN in ASP.NET,harvest,,
oslugr/ugr-opendata , 2014-04-30 08:42:22 , Aplicación web para la apertura de datos basada en CKAN,unk,,
pandyapm/release-v2.1.1 , 2013-12-13 19:39:04 , CKAN Release v.2.1.1,unk,,
PeeHaa/CkanConsumer , 2014-01-18 17:16:48 , None,unk,,
philippkueng/ckan-vagrant , 2014-04-08 23:18:55 , getting started in 15 minutes,unk,,
pjakobsen/hackathon-ckan , 2013-08-25 15:47:14 , ,unk,,
pkoskinen/ckanext-admin , 2014-04-15 10:12:00 , ,unk,,
pkoskinen/ckanext-comments , 2013-10-17 04:59:12 , ,unk,,
practicalweb/drupal-ckan , 2010-03-07 22:15:58 , A Drupal Module to integrate with CKAN,,,
PublicaMundi/ckanext-helloresource , 2013-12-13 08:22:19 , An helloworld CKAN plugin that demonstrates how to hook into the offline (queued) resource processing,help,,
PublicaMundi/ckanext-helloworld , 2013-12-13 09:38:56 , An helloworld CKAN plugin that demonstrates how to extend metadata schema with a couple of new fields,help,,
PublicaMundi/ckanext-publicamundi , 2014-05-02 01:08:42 , Publica Mundi main CKAN extension. http://www.publicamundi.eu,local,,
PublicaMundi/ckanext-vectorstorer , 2014-04-28 12:23:25 ," CKAN extension to upload vector geospatial data, store and publish through OGC services.",spatial,*,
pudo/ckan , 2011-11-10 16:58:12 , Comprehensive Knowledge Archive Network,,,
pudo/ckanext-offenedaten , 2011-09-27 13:27:09 , ,,,
Quatral/ckanext-contact_us , 2014-04-30 18:00:24 , CKAN Extension for a contact us form,function,*,
Quatral/ckanext-reclinepreview-fr , 2014-02-20 16:04:14 , Extracted reclinepreview translated in french,local,,
Quatral/ckanext-vds , 2014-03-27 15:29:59 , ,unk,,
rclark/ckanext-helloworld , 2012-12-11 23:07:28 ," ""Hello World"" extension for CKAN",,,
redlink-gmbh/ckanext-redlink , 2014-05-02 07:50:04 , CKAN extension to connect to Redlink triple store.,function,rdf,
regardscitoyens/nosdonnees , 2014-02-15 16:19:10 , French public open ckan,local,,
renatoaware/CKAN-Iota , 2013-08-02 14:15:27 , ,unk,,
reyebrow/CKAN , 2011-11-22 22:52:23 , Drupal module to allow integration with the CKAN API,,,
rgrp/ckan-explorer , 2014-03-03 10:30:01 , CKAN Data Explorer - explore data stored in a CKAN instance DataStore,function,,
rgrp/ckan-import , 2014-03-29 12:36:56 , Webapp to automate data import into CKAN and its DataStore.,harvest,*,
robin-cloud/build-CKAN , 2013-07-31 02:06:26 , install CKAN (v2.0) script with ubuntu 12.04 ,install,,
rossjones/ckanext-comments , 2014-02-11 15:20:47 ," Comments for CKAN urls (datasets, resources, organizations etc).",help,,
rossjones/ckanext-datapreview , 2012-12-06 11:02:38 , Local data previewer for CKAN that uses the resource cache instead of the remote data.,function,,
rossjones/ckanext-dgutests , 2013-01-04 11:01:19 , Selenium tests for data.gov.uk,testing,,
rossjones/ckanext-mo-observations , 2013-01-11 21:39:33 , Retrieves and stores weather observation data from the Met Office,function,,
rossjones/ckanext-pubsub , 2013-09-25 18:25:17 , Instant notifications for datasets.,function,,
rossjones/JCKANClient , 2013-01-17 10:07:41 , A Java client for CKAN,client,,
rparrapy/ckanext-datospy , 2014-05-08 20:17:06 , CKAN extension containing customizations for a Paraguayan Open Data Portal.,local,,
rshk/ckan3-poc-experiments , 2013-08-08 15:07:11 ," Experiments towards rethinking CKAN structure a bit, in order to make it simpler...",function,,
rshk/ckan-blackbox-testing , 2014-02-28 15:59:16 ,  Ckan black-box testing,testing,,
rshk/ckanext-api-ng , 2014-01-21 10:21:49 , New-generation API for Ckan (proposals for /api/4),API,,
rshk/ckan-guerrilla-gear , 2014-04-01 15:27:11 , Guerrilla Gear to try and tame some jungle - Ckan Pack,unk,,
rshk/ckan-vagrant , 2013-09-13 15:26:37 , ,install,,
samrose/ckan_vagrant_puppet , 2013-01-11 23:36:26 , dev env for ckan,install,,
sciamlab/ckan-eurovoc-classifier-poc , 2014-02-23 05:46:24 , EuroVoc Classifier for CKAN Datasets in Java,function,,
sciamlab/ckanext-opendatahub , 2014-03-15 21:19:30 , CKAN extension with the OpenDataHub,function,,
scraperwiki/open-your-data , 2013-07-12 13:39:23 , A ScraperWiki tool for publishing your data to CKAN sites.,function,,
sdrdl/ckanext-sdrdltheme , 2013-07-24 03:36:10 , Deisgn theme for CKAN,UI,,
seanh/ckanext-datesearch , 2013-08-20 14:23:47 , A CKAN extension that adds temporal facets (limit dataset search results to between two dates),function,,
seanh/ckanext-examplevocabs , 2012-07-11 10:37:20 , Example tag vocabularies CKAN plugin,function,,
seanh/ckanext-faster , 2013-08-22 20:39:08 , A CKAN extension that makes CKAN run faster,function,*,
seanh/ckanext-profile , 2013-08-22 20:34:34 , Add profiling to CKAN using repoze.profile,stats,,
seebi/ckan2debian , 2014-02-02 14:16:02 , A small script which creates a debian package from a ckan RDF dataset to allow installation of datadumps via apt-get.,function,,
SenseTecnic/ckanext-themeSmartStreets , 2013-11-20 20:26:15 , This repository will contain the ckan extension to override the default ckan front-end components with a Smart Streets theme.,local,,
SenseTecnic/ckanext-themeUrbanOpus , 2013-10-01 01:21:58 , ,local,,
SenseTecnic/ckanext-wotkit , 2013-12-11 00:05:11 , Extensions to the CKAN open data portal for WoTKit integration,function,,
serafimprestes/git-https---github.com-okfn-ckan.git-egg-ckan , 2013-07-29 16:09:36 , ,unk,,
Shamszaman/CKAN1 , 2014-02-07 14:24:00 , ,unk,,
shidax/ckanext_notification , 2013-09-27 02:31:30 , An example of CKAN extension. Notify new resource via the twitter,function,,
SilexConsulting/CKAN_PHP , 2014-04-16 17:03:54 , CKAN PHP Client,client,,
simonliu0315/ckanext-harvest , 2013-09-10 11:05:18 , ,harvest,,
socrata/data-importer , 2013-08-20 00:37:23 ," This tool is built to allow importing from one catalog into another.  Currently, it supports CKAN -> Socrata, but is modular to allow the other way around as well.",harvest,,
socrata/socrata-harvester , 2013-03-20 18:47:48 , A harvester to allow CKAN directories to keep in sync with a Socrata store,harvest,,
Softhouse/ckanext-opendata , 2014-03-05 09:01:51 , CKAN extension for oppnadata.se (Öppna Data) for Vinnova,local,,
sreeder/ckanext , 2014-01-08 16:29:35 , temporary location to store the ckan extension for iUtah Metadata ,junk,,
srkunze/ckanext-semantic , 2013-03-05 17:13:02 , integration of lodstats and personalization features based on it,unk,,
szeitlin/hub.healthdata.gov , 2014-04-01 20:57:51 ," webscraping via CKAN api, beautiful soup",harvest,,
tdt/ckanext-tdt , 2014-04-25 11:44:38 , A The DataTank extension for CKAN,function,," The DataTank is open source software, just like CKAN, Drupal or Elastic Search, which you can use to transform any dataset into an HTTP API."
tdt/core , 2014-05-05 10:07:07 ," The DataTank is open source software, just like CKAN, Drupal or Elastic Search, which you can use to transform any dataset into an HTTP API.",junk,,
the42/ckan-virtualisation , 2014-04-20 08:59:14 , This repository contains information for getting startet with CKAN from source using a virtualisaed environemnt,help,,
thejimmyg/ckanext-parkinsons , 2012-10-12 10:06:46 , CKAN Extensions for a Parkinsons Research Data Catalogue,,,
theodi/banquo , 2013-09-12 19:04:40 ," A set of scripts that, combined with the power of phantom.js, casper.js and a little bit of data-kitten, automagically creates ODI Open Data Certificates to Raw level for datasets that are hosted in CKAN repositories. Currently only tested for data.gov.uk.",function,,
thriuin/_ckanext-canada-atip-deprecated , 2013-03-11 21:29:24 , A command-line tool for datastore with ATIP,UI,,
thriuin/_ckanext-exampleform-deprecated , 2013-01-17 22:27:47 , Simple example of a custom form for CKAN 1.8.1,help,,
thriuin/ckan_client_demo , 2014-01-29 21:27:34 , Some basic examples of working with the Open Data Repository for data.gc.ca,help,,
thriuin/ckanaext-geogratis , 2013-11-26 15:09:01 , CKAN Extension for downloading updated datasets from NRCAN's Geogratis service,function,,
thriuin/ckanext-environmentcanada , 2013-11-20 19:14:24 , CKAN 2.0 Extension for importing Environment Canada ISO 19115 NAP files into data.gc.ca,harvest,*,
thriuin/ckanext-utilities , 2013-11-27 18:34:02 , Maintenance functions for data.gc.ca,function,,
thriuin/opendata_package , 2013-05-01 14:39:54 , Drupal module for integrating datasets with CKAN,drupal,,
tlevine/ckan-datasets , 2014-01-16 12:31:26 , None,unk,,
tlevine/download_ckan , 2014-04-24 15:51:50 , None,unk,,
tlevine/openprism , 2014-04-21 13:51:32 ," Type your search in one search bar, and get results from all of the Socrata and CKAN portals.",function,,
u10313335/ckan-docs-tw , 2014-02-09 06:51:42 , ckan 2.0 ??????,unk,,
ubiapps/ubiapps-api-ckanAdapter , 2014-04-01 14:56:28 , ubiapps adapter exposing the CKAN data-store,unk,,
UCHIC/CKANDev , 2014-05-01 17:40:41 , Development of extensions and tools for CKAN,function,,
unaguil/ckanext-extractor , 2013-07-29 09:39:21 , CKAN plugin for the automatic extraction of data sources,harvest,*,
unaguil/ckanext-metadata , 2014-03-11 08:34:34 , SPARQL endpoint analyzer and metadata generator for CKAN,unk,,
uq-eresearch/ckanext-midja , 2014-05-05 01:43:28 , CKAN theme for Midja Data Registry,local,,
VilledeMontreal/CKAN-Extension-Export-Utilisateurs , 2014-02-17 21:01:11 , Permet l'export de la liste des utilisateurs de CKAN en format CSV.,function,,
VilledeMontreal/CKAN-Extension-Territoire , 2014-02-19 14:02:16 , ,unk,,
vitorbaptista/chef-ckan , 2013-05-07 18:08:45 , Chef cookbook for CKAN.,install,,
webyrd/TAPL-in-miniKanren-cKanren-core.logic , 2014-02-25 22:48:48 , Translation of Pierce's 'Types and Programming Languages' into miniKanren/core.logic,junk,,
weso/ckanext-landportal_theme , 2014-03-13 12:55:32 , LandPortal theme for CKAN,local,,
weso/landportal-ckanext-drupal , 2014-02-17 17:58:40 , CKAN extension to manage logins and logouts from Drupal,drupal,,
WilJoey/tn_ckan , 2014-04-23 03:33:05 , Tainan ckan extention,local,,
wouterbeek/CKAN-2-RDF , 2014-05-07 09:11:41 , Allows the full metadata stored at CKAN sites to be stored into a single RDF file.,metadata,,
wrought/ckan_install , 2013-04-26 07:27:07 , BASH (and vagrant) installation script for CKAN 2.0 ,install,,
wwaites/curate , 2011-01-28 18:56:15 , CKAN Package Curation,,,
XVTSolutions/ckanext-clone , 2014-04-30 01:10:05 , ,unk,,
XVTSolutions/ckanext-dsactions , 2014-05-05 10:19:54 , ,function,,
XVTSolutions/ckanext-extend_search , 2014-05-05 10:21:20 , Extends Ckan's search with additional options,function,*,
XVTSolutions/ckanext-metameta , 2014-05-02 03:42:53 , generic metameta,function,,Allows Organisation defaults to be set by users who are Organisation administrators
XVTSolutions/ckanext-reorder , 2014-02-27 08:58:10 , Allows dataset editors to reorder the positioning of resources.,function,,
XVTSolutions/ckanext-review , 2014-05-05 10:18:51 , ,function,,
XVTSolutions/ckanext-spatialUI , 2014-03-13 02:44:46 , ,spatial,,
XVTSolutions/ckanext-suspend , 2014-05-05 10:22:43 , ,function,,
XVTSolutions/ckanext-vdojstats , 2014-05-05 10:20:35 , statistic function,function,*,
XVTSolutions/ckanext-vdojtheme , 2014-05-05 10:16:15 , ,unk,,
XVTSolutions/ckanext-xvt , 2014-02-25 01:25:51 , boilerplate ckan extension,function,,
yhteentoimivuuspalvelut/ckanext-ytp-dataset , 2014-04-08 06:50:36 , Chages to open data datamodel in YTP,unk,,
yhteentoimivuuspalvelut/ckanext-ytp-drupal , 2014-04-04 07:38:01 , CKAN Drupal data,drupal,,
yhteentoimivuuspalvelut/ckanext-ytp-main , 2014-04-07 12:58:55 , Avoindata main CKAN extension,unk,,
yhteentoimivuuspalvelut/ckanext-ytp-organizations , 2014-04-08 06:51:37 , YTP group CKAN extension,local,,
yhteentoimivuuspalvelut/ckanext-ytp-request , 2014-03-06 08:58:54 , Organization member request handling,function,*,
yhteentoimivuuspalvelut/ckanext-ytp-tasks , 2014-03-25 10:52:10 , Task handling for YTP,unk,,
yhteentoimivuuspalvelut/ckanext-ytp-theme , 2014-04-08 06:52:37 , ,local,,
yhteentoimivuuspalvelut/ckanext-ytp-tools , 2014-02-27 17:13:20 , Provides miscellaneous CKAN extension tools,function,,
yhteentoimivuuspalvelut/ckanext-ytp-user , 2014-04-08 06:49:42 , User customizations for YTP project.,local,,
yhteentoimivuuspalvelut/ytp-assets-common , 2014-04-04 14:17:12 , Common assets for YTP Drupal and CKAN instances ,drupal,,
ykhadilkar-rei/data_gov_json_validator , 2014-02-20 22:22:25 , JSON Validator and CKAN Search,function,,
yunjiali/ckan-pakcage-crawler , 2014-03-17 13:23:27 , ckan-package-crawler,function,*,useful for mining content from ckan instance?
